date,borough,count_pm25,count_dew,count_humidity,count_so2,count_pressure,count_o3,count_no2,count_temperature,count_wind_speed,count_wind_speed_2,count_wind_gust,count_wind_gust_2,count_co,min_pm25,min_dew,min_humidity,min_so2,min_pressure,min_o3,min_no2,min_temperature,min_wind_speed,min_wind_speed_2,min_wind_gust,min_wind_gust_2,min_co,max_pm25,max_dew,max_humidity,max_so2,max_pressure,max_o3,max_no2,max_temperature,max_wind_speed,max_wind_speed_2,max_wind_gust,max_wind_gust_2,max_co,median_pm25,median_dew,median_humidity,median_so2,median_pressure,median_o3,median_no2,median_temperature,median_wind_speed,median_wind_speed_2,median_wind_gust,median_wind_gust_2,median_co,variance_pm25,variance_dew,variance_humidity,variance_so2,variance_pressure,variance_o3,variance_no2,variance_temperature,variance_wind_speed,variance_wind_speed_2,variance_wind_gust,variance_wind_gust_2,variance_co
2020-11-02,Queens,90,22,93,,94,68,48,93,,93,,88,71,1,-9,25.3,,1004,12.8,3.3,3,,1.2,,8.2,1.5,34,-3,68.5,,1013.4,29.6,15.9,45.9,,19.3,,38.5,3.1,9,-6,44.7,,1009.4,21.6,7.6,5.6,,10.2,,22.6,1.9,527.15,38.7,1266.89,,76.62,210.99,111.04,2693.01,,162.38,,497.71,1.09
2020-04-05,Queens,120,15,119,,120,72,48,119,,97,,93,72,10,4,51.4,,1014.5,10.4,5.1,7.7,,0.1,,0.4,1.9,58,7,92,,1018.2,30.4,23.5,61.8,,10,,17.7,4.1,33,6,79,,1016.3,20.8,12.7,13.2,,2,,5.7,3,1095.36,7.81,1076.24,,11.78,342.29,230.87,4081.34,,64.87,,203.17,3.02
2020-06-22,Queens,96,15,119,,120,71,24,119,,106,,109,67,1,17,38.3,,998.3,1.6,3.2,21.5,,0.1,,0.2,1.4,41,19,90,,1015.5,80.2,18.9,90.5,,10.6,,20.5,3.2,18,18,67.1,,1014.2,28.9,7.1,30,,2.5,,8.4,2,1093.68,6.38,1963.36,,35.7,3388.8,235.64,7054.65,,94.59,,313.26,2.42
2020-08-01,Queens,114,21,119,,119,72,48,119,,75,,88,72,1,16,38,,1010.6,1.6,1.8,22.5,,0.2,,0.3,1.7,82,21,92.7,,1015.5,62.2,30.5,88.5,,8.7,,18.5,12.3,36,17,66,,1013.5,36.8,6.2,29.5,,4,,6.5,2.5,3545.67,16.62,2364.94,,19.35,3097.59,843.26,6847.76,,70.85,,421.09,53.75
2020-09-06,Queens,83,15,83,,96,71,17,70,,76,,73,33,3,12,34.1,,1019.5,5.6,2.2,19,,0.2,,1.1,1.8,42,16,84,,1022.6,64.8,9,81.1,,12.1,,22.6,2.7,24,13,59,,1021.1,36.1,4.4,25,,2.2,,7.7,2.3,789.87,19.71,1557.1,,6.86,2090.46,49.08,6045.77,,90.86,,347.59,0.66
2020-10-06,Queens,96,21,93,,93,66,41,93,,65,,68,48,5,6,39.2,,1013.5,0.8,4.4,11.3,,0.2,,0.2,2.1,60,12.3,100,,1021.8,37.6,28.3,68.8,,5.5,,15.3,5.7,25,9,65.1,,1019.7,27.2,16,18.4,,2.7,,8.7,3.1,1371.98,42.93,3135.23,,85.65,1332.73,639.14,4415.27,,22.79,,291.06,12.59
2020-10-21,Queens,92,23,96,,96,69,44,96,,48,,60,69,1,15,24.7,,1022.8,1.6,3.8,15.5,,0.5,,0.1,1.8,35,17,100,,1026.3,23.3,21.9,69.4,,3.8,,10.3,4.8,14,16,88.2,,1024.5,16.8,11.1,17.5,,1.5,,1.5,2.5,907.12,5.73,816.88,,10.04,294.51,187.8,4333.92,,6.6,,116.16,3.37
2020-10-29,Queens,84,16,96,,96,66,48,96,,86,,79,72,1,5,65.5,,999.8,0.8,4.1,7,,0.5,,0.5,1.9,45,8,100,,1014.5,28.1,22,58.1,,18.8,,33.1,4.9,13,7,86.8,,1006.3,20,11.4,10.5,,5,,10.8,2.5,937.46,5.67,751.97,,252.46,687.35,241.31,3401.11,,233.65,,891.27,2.8
2020-05-11,Queens,104,24,119,,120,108,119,119,,106,,103,120,2,-2,39,,1007.4,7.3,3.6,7.9,,0.1,,1.9,1.4,41,7,84,,1015,36.1,35.4,59.1,,12.1,,25.3,3.7,15,3,61,,1011,27.2,8.3,13.2,,4.7,,12.3,1.9,926.21,72.79,1032.08,,33.77,384.41,626.68,3925.87,,114.4,,379.19,2.23
2020-06-02,Queens,81,18,96,,96,96,60,96,,68,,86,24,2,4,27.1,,996.8,4,4,15,,0.1,,0.2,1.7,42,8,86,,1018.8,45.6,33.4,72.4,,6.5,,17.3,3.7,17,6,42,,1015.7,28.9,15.1,22.7,,3,,6.5,2.1,734.11,15.29,1924.83,,175.06,1995.44,1003.62,5479.11,,25.33,,307.34,4.05
2020-06-30,Queens,93,18,120,,120,114,86,107,,85,,96,108,1,16,59.4,,1011.1,10.4,3.4,20.4,,0.1,,0.2,1.3,48,19,98.7,,1012.8,38.4,20.6,76.4,,6.1,,16,3.4,12,17,72,,1011.8,26.4,6.8,23.3,,1,,5.2,1.9,766.8,6.54,769.01,,1.82,517.58,211.32,5070.48,,22.35,,121.42,1.82
2020-10-14,Queens,90,21,93,,93,60,48,93,,82,,72,48,4,5,35.8,,1011.5,2.4,5.6,7,,0.1,,2,1.9,64,10,87,,1016.8,36.1,30.7,69.4,,8.5,,16.5,4.9,25,7,62.5,,1014.5,18.4,13.6,17.3,,2.5,,9.2,2.9,1709.54,15.29,2446.59,,18.29,548.38,443.96,4339.56,,39.62,,157.29,9.24
2020-04-14,Queens,113,21,119,,120,71,63,119,,118,,102,68,1,-4,24.6,,1011.6,24.1,3.3,8.6,,0.3,,4.9,1.5,40,4,74.2,,1019.2,38.4,20.7,58.3,,14.7,,24.8,2.7,13,-2,48,,1015.3,32,5.9,13.6,,6,,14,1.9,897.85,48.57,1345.82,,33.16,145.37,144.28,3885.77,,136.05,,250.83,0.66
2020-04-28,Queens,107,17,120,,118,59,42,119,,107,,99,68,1,-4,17.8,,1017.3,17.6,2.7,5.5,,0.3,,0.2,1.4,51,3,91,,1021.1,36.8,25.2,64.8,,7.2,,16.3,3.8,13,1,63.5,,1018.9,27.2,10.6,14.8,,3.1,,11.7,2.1,1476.65,48.6,3818.03,,9.66,365.94,310.52,4115.76,,27.22,,124.38,3.15
2020-06-26,Queens,82,23,119,,119,72,26,119,,99,,92,72,2,8,23.8,,1011.7,6.4,3.9,21.1,,0.1,,0.4,1.3,56,17,90,,1015.2,64.8,27.5,85.1,,5.5,,16,3.8,30,12,47,,1014,36.1,9,29.3,,2,,9.3,2.3,2486.12,67.11,3838.77,,13.91,2340.92,513.4,6327.57,,24.39,,170,3.88
2020-07-15,Queens,92,19,119,,120,114,96,119,,92,,94,120,1,15,54,,1017.4,10.4,2,21.6,,0.1,,0.7,1.3,45,18,88,,1024.3,41.6,19.7,80.9,,9.4,,18.5,2.3,15,17,69.7,,1022.3,24.8,5.1,25,,3.6,,11.1,1.7,939.01,5.16,652.64,,35.34,781.07,312.71,6068.84,,50.35,,262.26,0.5
2020-08-17,Queens,110,19,118,,120,71,48,118,,85,,99,71,2,14,48.2,,999.3,1.6,2,18.8,,0.1,,0.2,1.5,57,19,93.5,,1014.2,48.1,22.1,80.3,,12,,22.3,3.8,23,17,72.1,,1012.5,24.8,6.8,24.8,,2.5,,5.7,2.1,1159.8,21.13,1413.84,,25.22,1609.12,275.43,5777.67,,121.87,,473.86,2.43
2020-04-23,Queens,55,23,95,,119,68,,71,,101,,95,,5,-9,26.5,,1013.5,19.2,,5,,0.3,,0.7,,49,1,79.2,,1019.3,32,,10.2,,7.2,,15,,23,-7,38.8,,1016.9,25.6,,7,,1.5,,7.3,,1343.65,67.87,1066.21,,22.94,103.66,,24.09,,21.77,,102.03,
2020-04-15,Queens,119,23,119,,120,81,66,119,,115,,101,72,3,-11,15.2,,1011.5,17.6,2.6,5.6,,0.3,,7.7,1.4,40,1,75,,1015.5,38.4,16.6,51.2,,10.8,,20.6,2.4,16,-7,37.2,,1014.2,35.2,6.8,10.5,,4.8,,14.6,1.8,666.81,129.76,3127.06,,12.59,146.46,147.64,3403.76,,52.45,,114.43,0.48
2020-08-23,Queens,92,13,94,,96,72,48,94,,66,,81,72,1,18,53,,1001.9,2.4,1.8,23,,0.1,,0.1,1.7,62,22,93.5,,1018.6,52,22.6,87.7,,7.3,,16.3,7,30,21,72,,1016.8,21.6,8.1,66.7,,2.3,,4.5,2.7,1445.59,14.74,1315.43,,50.79,1499.67,266.82,6994.34,,40.27,,230.01,7.34
2020-04-10,Queens,111,21,119,,119,59,48,119,,118,,117,72,1,-6,35.1,,991.8,26.4,2.4,3,,4.1,,7.7,1.6,27,-1,90,,1006.9,36.8,10.4,46.4,,18.1,,34.6,2.3,11,-3,50.2,,995.1,29.6,5.3,7.8,,11.6,,24.7,1.8,461.46,18.62,1406.55,,184.36,60.24,32.31,3161.44,,122.56,,438.73,0.36
2020-09-16,Queens,84,16,96,,96,62,50,96,,66,,70,67,1,8,51.6,,1019.9,0.8,1.7,13.7,,0.5,,0.4,1.2,44,13,91,,1025.5,28.9,29.2,71.4,,6.8,,17.2,4.7,11,11,65.2,,1023.6,21.6,6.6,21.6,,4.1,,10.7,1.8,994.91,30.62,1233.39,,36.91,825.76,983.95,5228.99,,32.37,,335.99,10.91
2020-09-09,Queens,95,21,96,,96,69,46,96,,38,,55,72,3,17,62.3,,1022.9,0.8,4.3,20.8,,0.1,,0.1,1.7,51,19,95,,1026.7,35.2,24.5,81.2,,3.6,,10,4.2,26,18,79.7,,1025.3,21.6,10.5,26.6,,1.5,,4,2.3,1245.46,5.14,917.89,,14.87,1273.14,377.04,6537.05,,8.56,,81.17,4.72
2020-10-16,Queens,84,18,95,,95,66,42,94,,79,,72,46,1,6,64.3,,1014.5,11.2,5.5,8,,0.1,,0.4,1.8,54,16,96.5,,1020.9,24.1,30.5,65.5,,8,,19.5,3.1,13,10,84.6,,1018.5,20.8,12.9,16,,3.8,,9.5,2.5,905.93,94.77,531.45,,37.02,94.99,323.74,3806.29,,50.32,,268.75,1.6
2020-10-30,Queens,93,24,96,,96,66,48,96,,96,,82,72,2,-2,71.3,,1003.8,5.6,2.4,0,,0.2,,1.5,1.7,86,5,96,,1026.4,21.6,20.7,46,,14.7,,27.7,3.7,18,1,84.7,,1013.1,16.8,8.7,5.1,,4.7,,12.3,2.2,2394.79,45.1,476.15,,557.08,144.62,265.58,2645.12,,178.3,,551.39,2.32
2020-07-10,Queens,60,11,119,,118,107,99,119,,108,,104,120,1,21,77.6,,1002.7,5.6,1.1,22.2,,0.1,,0.5,0.9,29,22,99,,1016.2,24.1,12.8,77.6,,17.7,,32.2,1.8,11,22,87,,1012.1,14.5,6.5,24.7,,7.8,,15.5,1.3,531.59,2.25,271.97,,219.81,285.06,103.33,6232.57,,249.53,,767.66,0.6
2020-07-07,Queens,117,11,119,,119,76,96,119,,114,,96,120,2,18,62.1,,1017.3,14.5,1.9,21.6,,0.1,,2.2,1.6,47,20,93.7,,1020.6,35.2,25.1,77.4,,6.3,,16.1,3.4,19,19,77.1,,1019.2,31.2,5.5,25,,2,,9.5,1.9,985.66,6.23,593.61,,8.54,208.16,298.2,3770.76,,25.87,,95.1,0.69
2020-10-15,Queens,93,21,95,,95,69,47,95,,72,,76,42,5,7,56.1,,1013.5,1.6,2.3,8.3,,0.2,,0.2,2,55,14,97.6,,1017.4,41.6,35.5,69.3,,15.9,,30.6,6.1,26,11,75.6,,1015.9,26.4,9.7,18.3,,4.6,,10.5,2.3,1309.91,52.62,1196.9,,12.87,1850.26,1135.24,4416.73,,247.65,,816.02,12.5
2020-10-19,Queens,96,13,94,,94,64,48,94,,54,,55,48,10,8,53.7,,1025.2,0.8,2.1,8,,0.3,,0.1,1.9,82,12,100,,1028.4,31.2,29.5,66.4,,5.2,,14.2,7.3,24,11,76.8,,1027.1,21.6,10.4,16.1,,2.5,,8.2,2.6,1621.15,12.31,1201.81,,8.67,1230.38,897.2,4084.59,,13.5,,203.66,33.46
2020-05-06,Queens,117,22,118,,120,104,120,118,,102,,98,120,2,-5,49,,1006.7,16.8,3.8,7.3,,0.1,,0.2,1.2,35,4,88.2,,1012.1,34.4,26.3,52.8,,5.6,,11.7,2.8,13,1,70.5,,1009.1,28.9,14.6,11.6,,1.5,,2.6,1.9,617.16,82.79,1189.36,,24.4,249.53,329.97,3535.63,,21.72,,86.93,1.52
2020-06-24,Queens,76,20,119,,120,69,28,119,,109,,110,72,2,10,27.9,,990.7,12.8,3.5,21.6,,0.4,,0.5,1.3,62,21,94.7,,1010.8,45.6,14.1,84.9,,7.6,,18.5,3.5,26,12,55,,1006.3,33.6,5.7,28.8,,5.6,,11.4,1.9,2868.07,164.71,4872.38,,55.23,784.59,100.53,6598.64,,41.21,,236.88,2.17
2020-07-03,Queens,120,16,120,,119,120,96,120,,69,,98,120,5,18,36.4,,1008.6,6.4,2.2,22,,0.2,,1,1.7,95,21,94,,1012.5,68.6,25.4,88,,6.6,,16,4.5,45,19,57.7,,1009.9,21.6,7.4,28.1,,2.5,,4.3,2.6,2430.45,14.5,2358.82,,10.3,2422.23,381.49,4157.37,,27.32,,136.34,4.35
2020-09-25,Queens,96,16,94,,94,71,45,94,,55,,64,70,5,11,46.1,,1016.3,0.8,7.7,12,,0.1,,0.3,3.2,88,16,93,,1020,49.6,35.1,76.7,,4.7,,12.1,9.2,62,14,74.8,,1018.6,20.8,20.6,21,,2,,4,5.1,1210.5,27.82,1862.75,,11.53,3512.92,792.24,5156.57,,18.5,,144.71,20.27
2020-06-23,Queens,116,13,120,,120,69,22,120,,93,,111,72,2,18,55,,991.8,7.3,3.1,21.6,,0.2,,0.2,1.6,58,20,94.2,,1011.8,53.3,20.3,85.7,,13.8,,25.2,3.4,30,19,69.6,,1008.9,40.8,4.9,27.2,,6.7,,10.6,2,1592.04,4.23,1205.73,,105.39,1760.02,326.55,6759.48,,161.71,,605.71,1.23
2020-04-18,Queens,90,21,118,,120,116,120,118,,100,,95,120,2,-3,43.3,,1006.2,12.1,3.6,5.4,,0.1,,1.4,1.9,45,4,95.5,,1013.6,34.4,20.4,45.7,,8,,20.5,3.6,18,2,82,,1008.2,31.2,9.3,7.2,,4.6,,11,2.3,850.64,58.9,2183.17,,51.88,141.62,122.65,2994.52,,57.78,,309.36,1.03
2020-04-24,Queens,106,20,115,,119,72,62,112,,107,,94,63,1,2,75,,1004.6,0.8,5.4,5.8,,0.2,,0.5,1.6,39,7,97,,1013.2,32.8,33.2,49.2,,14.1,,25.1,5.3,16,5,85.8,,1007.1,28.1,13.3,9.4,,4.6,,11.8,2.3,699.44,26.61,239.12,,60.87,640.51,500.39,3352.47,,169.99,,526.92,5.86
2020-07-31,Queens,110,22,117,,118,69,47,117,,74,,94,70,3,17,46.8,,1008.8,16,4,21.1,,0.1,,0.7,1.3,76,20.5,99,,1011.6,55.8,23.5,83.8,,6.4,,13.2,5.1,25,19,78,,1009.4,32.8,10.1,27.4,,2,,5.5,2.2,3820.89,7.66,1641.63,,3.71,899.83,353.02,6309.04,,24.09,,105.79,7.34
2020-04-17,Queens,106,17,119,,118,119,120,119,,106,,101,120,3,-10,22.7,,1012.8,20.8,3.4,2.7,,0.5,,3.2,1.7,46,2,90,,1027,39.2,22.1,48.6,,8.5,,21.3,4.1,21,-7,42.7,,1023.1,31.2,9.1,8.7,,3.2,,12.3,2,855.14,207.5,2995.46,,140.76,244.98,173.76,3070.18,,52.47,,241.14,1.6
2020-09-24,Queens,96,17,96,,96,70,48,96,,56,,55,72,38,9,38.7,,1012.9,0.8,14.3,11,,0.1,,0.5,3.3,79,13,100,,1016.5,42.4,45.4,77.9,,4.2,,12.7,11.2,58,12,56.7,,1015.1,12.1,31.1,22.2,,1.5,,3.5,5.5,1217.53,8.82,2268.81,,12.16,1841.12,985.35,5370.07,,8.26,,127.16,45.42
2020-08-11,Queens,116,20,118,,118,72,43,118,,102,,99,72,2,20,58,,1013,1.6,2.8,24.3,,0.1,,1.8,1.9,58,24,95.7,,1015.9,47.2,16.2,88.7,,12.2,,22.7,4.2,36,22,75.4,,1014.4,25.6,5.9,28.6,,4.5,,10.4,2.4,1181.53,11.03,1038.17,,5.91,1396.82,147.06,6958.31,,88.88,,238.46,2.19
