month,day,borough,year.x,AQI_Final.x,AQI_o3.x,AQI_co.x,AQI_no2.x,AQI_pm25.x,AQI_Category.x,year.y,AQI_Final.y,AQI_o3.y,AQI_co.y,AQI_no2.y,AQI_pm25.y,AQI_Category.y,Adjusted_Value,date
07,05,Manhattan,2019,115.163090128755,37.7777777777778,27.2727272727273,7.07547169811321,115.163090128755,Unhealthy for Sensitive Populations,2020,160.227467811159,31.1111111111111,26.1363636363636,4.43396226415094,160.227467811159,Unhealthy,139.130920881005,2020-07-05
07,05,Queens,2019,100.141630901288,40.7407407407407,26.1363636363636,5.75471698113208,100.141630901288,Unhealthy for Sensitive Populations,2020,145.206008583691,30.3703703703704,27.2727272727273,5.56603773584906,145.206008583691,Unhealthy for Sensitive Populations,145.000642866326,2020-07-05
07,05,Staten Island,2019,108.725321888412,31.8518518518519,31.8181818181818,12.2641509433962,108.725321888412,Unhealthy for Sensitive Populations,2020,138.768240343348,21.5740740740741,29.5454545454546,3.58490566037736,138.768240343348,Unhealthy for Sensitive Populations,127.63194252556,2020-07-05
07,05,The Bronx,2019,95.8497854077253,33.4259259259259,29.5454545454546,8.67924528301887,95.8497854077253,Moderate,2020,121.600858369099,31.1111111111111,26.1363636363636,,121.600858369099,Unhealthy for Sensitive Populations,126.86607262795,2020-07-05
07,06,Brooklyn,2019,462.962962962963,462.962962962963,1.13636363636364,9.52830188679245,78.6824034334764,Hazardous,2020,117.309012875536,32.5925925925926,30.6818181818182,10.4716981132075,117.309012875536,Unhealthy for Sensitive Populations,25.3387467811158,2020-07-06
07,06,Manhattan,2019,93.7038626609442,37.7777777777778,27.2727272727273,6.13207547169811,93.7038626609442,Moderate,2020,132.330472103004,27.4074074074074,30.6818181818182,14.0566037735849,132.330472103004,Unhealthy for Sensitive Populations,141.222003389364,2020-07-06
07,06,Queens,2019,93.7038626609442,39.2592592592593,27.2727272727273,6.13207547169811,93.7038626609442,Moderate,2020,117.309012875536,32.5925925925926,30.6818181818182,10.4716981132075,117.309012875536,Unhealthy for Sensitive Populations,125.1912242935,2020-07-06
07,06,Staten Island,2019,110.871244635193,33.4259259259259,31.8181818181818,7.07547169811321,110.871244635193,Unhealthy for Sensitive Populations,2020,128.038626609442,22.962962962963,38.6363636363636,21.8867924528302,128.038626609442,Unhealthy for Sensitive Populations,115.484070762203,2020-07-06
07,06,The Bronx,2019,89.412017167382,34.8148148148148,31.8181818181818,10,89.412017167382,Moderate,2020,128.038626609442,26.7592592592593,34.0909090909091,,128.038626609442,Unhealthy for Sensitive Populations,143.200691211059,2020-07-06
07,07,Brooklyn,2019,462.962962962963,462.962962962963,1.13636363636364,4.24528301886792,104.43347639485,Hazardous,2020,74.3905579399142,26.7592592592593,21.5909090909091,6.22641509433962,74.3905579399142,Moderate,16.0683605150215,2020-07-07
07,07,Manhattan,2019,100.141630901288,26.7592592592593,20.4545454545455,4.43396226415094,100.141630901288,Unhealthy for Sensitive Populations,2020,78.6824034334764,25.1851851851852,26.1363636363636,5.28301886792453,78.6824034334764,Moderate,78.571122444606,2020-07-07
07,07,Queens,2019,102.287553648069,27.4074074074074,22.7272727272727,3.9622641509434,102.287553648069,Unhealthy for Sensitive Populations,2020,65.8068669527897,28.8888888888889,21.5909090909091,5.18867924528302,65.8068669527897,Moderate,64.3351655267904,2020-07-07
